LCE_fold0
{'loss': 0.1862, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.0908, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
{'loss': 0.1074, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.0752, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0748, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 3.965, 'learning_rate': 0.00248, 'epoch': 32.0}
{'loss': 3.9809, 'learning_rate': 0.00248, 'epoch': 33.0}
{'loss': 3.9751, 'learning_rate': 0.00256, 'epoch': 34.0}
{'loss': 2.527, 'learning_rate': 0.00256, 'epoch': 35.0}
KE_fold3
{'loss': 1.2083, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2129, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.1451, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9607, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6488, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3192, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.1635, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.1626, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.0968, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.0974, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.0865, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.0857, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.0778, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.0657, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.0576, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.2695, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.5818, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.1182, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.1931, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.0668, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.176, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.0772, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.0739, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 0.0478, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.0426, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.0404, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
{'loss': 0.0139, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.006, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
{'loss': 0.0045, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.0008, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0014, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 0.0, 'learning_rate': 0.00256, 'epoch': 32.0}
{'loss': 0.0, 'learning_rate': 0.00264, 'epoch': 33.0}
{'loss': 0.0, 'learning_rate': 0.00272, 'epoch': 34.0}
{'loss': 0.0006, 'learning_rate': 0.0028, 'epoch': 35.0}
{'loss': 0.0, 'learning_rate': 0.0028799999999999997, 'epoch': 36.0}
{'loss': 0.0, 'learning_rate': 0.00296, 'epoch': 37.0}
